# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1419E+06,      0.1000E+01
     0.1419E+06,      0.9899E+00
     0.1419E+06,      0.9798E+00
     0.1419E+06,      0.9697E+00
     0.1419E+06,      0.9596E+00
     0.1419E+06,      0.9495E+00
     0.1419E+06,      0.9394E+00
     0.1419E+06,      0.9293E+00
     0.1419E+06,      0.9192E+00
     0.1419E+06,      0.9091E+00
     0.1419E+06,      0.8990E+00
     0.1419E+06,      0.8889E+00
     0.1419E+06,      0.8788E+00
     0.1419E+06,      0.8687E+00
     0.1419E+06,      0.8585E+00
     0.1419E+06,      0.8484E+00
     0.1419E+06,      0.8383E+00
     0.1419E+06,      0.8282E+00
     0.1419E+06,      0.8181E+00
     0.1419E+06,      0.8080E+00
     0.1419E+06,      0.7979E+00
     0.1419E+06,      0.7878E+00
     0.1419E+06,      0.7777E+00
     0.1419E+06,      0.7676E+00
     0.1419E+06,      0.7575E+00
     0.1419E+06,      0.7474E+00
     0.1419E+06,      0.7373E+00
     0.1419E+06,      0.7272E+00
     0.1419E+06,      0.7171E+00
     0.1419E+06,      0.7070E+00
     0.1419E+06,      0.6969E+00
     0.1419E+06,      0.6868E+00
     0.1419E+06,      0.6767E+00
     0.1419E+06,      0.6666E+00
     0.1420E+06,      0.6565E+00
     0.1420E+06,      0.6464E+00
     0.1420E+06,      0.6363E+00
     0.1420E+06,      0.6262E+00
     0.1420E+06,      0.6161E+00
     0.1420E+06,      0.6060E+00
     0.1420E+06,      0.5959E+00
     0.1420E+06,      0.5858E+00
     0.1420E+06,      0.5757E+00
     0.1420E+06,      0.5656E+00
     0.1420E+06,      0.5555E+00
     0.1420E+06,      0.5454E+00
     0.1420E+06,      0.5353E+00
     0.1420E+06,      0.5252E+00
     0.1420E+06,      0.5151E+00
     0.1420E+06,      0.5050E+00
     0.1420E+06,      0.4949E+00
     0.1420E+06,      0.4848E+00
     0.1420E+06,      0.4747E+00
     0.1420E+06,      0.4646E+00
     0.1420E+06,      0.4545E+00
     0.1420E+06,      0.4444E+00
     0.1420E+06,      0.4343E+00
     0.1420E+06,      0.4242E+00
     0.1420E+06,      0.4141E+00
     0.1420E+06,      0.4040E+00
     0.1420E+06,      0.3939E+00
     0.1420E+06,      0.3838E+00
     0.1420E+06,      0.3737E+00
     0.1420E+06,      0.3636E+00
     0.1420E+06,      0.3535E+00
     0.1420E+06,      0.3434E+00
     0.1420E+06,      0.3333E+00
     0.1420E+06,      0.3232E+00
     0.1420E+06,      0.3132E+00
     0.1420E+06,      0.3031E+00
     0.1420E+06,      0.2930E+00
     0.1420E+06,      0.2829E+00
     0.1420E+06,      0.2728E+00
     0.1420E+06,      0.2627E+00
     0.1420E+06,      0.2526E+00
     0.1420E+06,      0.2425E+00
     0.1420E+06,      0.2324E+00
     0.1420E+06,      0.2223E+00
     0.1420E+06,      0.2122E+00
     0.1420E+06,      0.2021E+00
     0.1420E+06,      0.1920E+00
     0.1420E+06,      0.1819E+00
     0.1420E+06,      0.1717E+00
     0.1420E+06,      0.1616E+00
     0.1420E+06,      0.1515E+00
     0.1420E+06,      0.1414E+00
     0.1420E+06,      0.1313E+00
     0.1420E+06,      0.1212E+00
     0.1420E+06,      0.1111E+00
     0.1420E+06,      0.1010E+00
     0.1420E+06,      0.9093E-01
     0.1420E+06,      0.8083E-01
     0.1420E+06,      0.7073E-01
     0.1420E+06,      0.6062E-01
     0.1420E+06,      0.5052E-01
     0.1420E+06,      0.4042E-01
     0.1420E+06,      0.3031E-01
     0.1420E+06,      0.2021E-01
     0.1420E+06,      0.1011E-01
     0.1420E+06,      0.1021E-05
     0.1405E+06,      0.1000E+01
     0.1405E+06,      0.9899E+00
     0.1405E+06,      0.9798E+00
     0.1405E+06,      0.9697E+00
     0.1405E+06,      0.9596E+00
     0.1405E+06,      0.9495E+00
     0.1405E+06,      0.9394E+00
     0.1405E+06,      0.9293E+00
     0.1405E+06,      0.9192E+00
     0.1405E+06,      0.9091E+00
     0.1405E+06,      0.8989E+00
     0.1405E+06,      0.8888E+00
     0.1405E+06,      0.8787E+00
     0.1405E+06,      0.8686E+00
     0.1405E+06,      0.8585E+00
     0.1405E+06,      0.8484E+00
     0.1405E+06,      0.8383E+00
     0.1405E+06,      0.8282E+00
     0.1405E+06,      0.8181E+00
     0.1405E+06,      0.8080E+00
     0.1405E+06,      0.7979E+00
     0.1405E+06,      0.7878E+00
     0.1405E+06,      0.7777E+00
     0.1405E+06,      0.7676E+00
     0.1405E+06,      0.7575E+00
     0.1405E+06,      0.7474E+00
     0.1405E+06,      0.7373E+00
     0.1405E+06,      0.7272E+00
     0.1405E+06,      0.7171E+00
     0.1405E+06,      0.7070E+00
     0.1405E+06,      0.6969E+00
     0.1405E+06,      0.6867E+00
     0.1405E+06,      0.6766E+00
     0.1405E+06,      0.6665E+00
     0.1405E+06,      0.6564E+00
     0.1405E+06,      0.6463E+00
     0.1405E+06,      0.6362E+00
     0.1405E+06,      0.6261E+00
     0.1405E+06,      0.6160E+00
     0.1405E+06,      0.6059E+00
     0.1405E+06,      0.5958E+00
     0.1405E+06,      0.5857E+00
     0.1405E+06,      0.5756E+00
     0.1405E+06,      0.5655E+00
     0.1405E+06,      0.5554E+00
     0.1405E+06,      0.5453E+00
     0.1405E+06,      0.5352E+00
     0.1405E+06,      0.5251E+00
     0.1405E+06,      0.5151E+00
     0.1405E+06,      0.5050E+00
     0.1405E+06,      0.4949E+00
     0.1405E+06,      0.4848E+00
     0.1405E+06,      0.4747E+00
     0.1405E+06,      0.4646E+00
     0.1405E+06,      0.4545E+00
     0.1405E+06,      0.4444E+00
     0.1405E+06,      0.4343E+00
     0.1406E+06,      0.4242E+00
     0.1406E+06,      0.4141E+00
     0.1406E+06,      0.4040E+00
     0.1406E+06,      0.3939E+00
     0.1406E+06,      0.3838E+00
     0.1406E+06,      0.3737E+00
     0.1406E+06,      0.3636E+00
     0.1406E+06,      0.3535E+00
     0.1406E+06,      0.3434E+00
     0.1406E+06,      0.3333E+00
     0.1406E+06,      0.3232E+00
     0.1406E+06,      0.3131E+00
     0.1406E+06,      0.3030E+00
     0.1406E+06,      0.2929E+00
     0.1406E+06,      0.2828E+00
     0.1406E+06,      0.2727E+00
     0.1406E+06,      0.2626E+00
     0.1406E+06,      0.2525E+00
     0.1406E+06,      0.2424E+00
     0.1406E+06,      0.2323E+00
     0.1406E+06,      0.2222E+00
     0.1406E+06,      0.2121E+00
     0.1406E+06,      0.2020E+00
     0.1406E+06,      0.1919E+00
     0.1406E+06,      0.1818E+00
     0.1406E+06,      0.1717E+00
     0.1406E+06,      0.1616E+00
     0.1406E+06,      0.1515E+00
     0.1406E+06,      0.1414E+00
     0.1406E+06,      0.1313E+00
     0.1406E+06,      0.1212E+00
     0.1406E+06,      0.1111E+00
     0.1406E+06,      0.1010E+00
     0.1406E+06,      0.9091E-01
     0.1406E+06,      0.8081E-01
     0.1406E+06,      0.7071E-01
     0.1406E+06,      0.6061E-01
     0.1406E+06,      0.5051E-01
     0.1406E+06,      0.4041E-01
     0.1406E+06,      0.3031E-01
     0.1406E+06,      0.2020E-01
     0.1406E+06,      0.1010E-01
     0.1406E+06,      0.1020E-05
     0.1391E+06,      0.1000E+01
     0.1391E+06,      0.9899E+00
     0.1391E+06,      0.9798E+00
     0.1391E+06,      0.9697E+00
     0.1391E+06,      0.9596E+00
     0.1391E+06,      0.9495E+00
     0.1391E+06,      0.9394E+00
     0.1391E+06,      0.9293E+00
     0.1391E+06,      0.9191E+00
     0.1391E+06,      0.9090E+00
     0.1391E+06,      0.8989E+00
     0.1391E+06,      0.8888E+00
     0.1391E+06,      0.8787E+00
     0.1391E+06,      0.8686E+00
